date_min,date_max,water_level_min,water_level_max
1993-11,1993-07,307.285,330.149
1994-01,1994-06,308.813,328.782
1995-12,1995-07,307.164,326.544
1996-11,1996-05,306.293,327.889
1997-10,1997-07,309.097,327.923
1998-12,1998-07,306.412,325.23
1999-09,1999-07,315.216,321.647
2000-11,2000-06,311.531,327.524
2001-02,2001-06,312.053,327.546
2002-11,2002-07,314.443,327.871
2004-03,2004-06,316.807,329.645
2005-09,2005-07,317.176,326.197
2006-02,2006-07,310.043,317.728
2007-09,2007-07,313.142,318.879
2008-11,2008-05,308.069,318.799
2009-09,2009-07,308.479,318.158
2010-12,2010-06,300.843,319.362
2011-02,2011-06,298.545,319.56
2014-09,2014-06,306.637,315.125
2015-12,2015-06,302.174,319.251
2016-12,2016-06,301.13,315.633
2017-12,2017-06,293.024,321.649
2018-01,2018-06,292.862,311.833
2019-12,2019-05,313.568,324.489
2020-01,2020-05,313.098,321.733
