Name,Area_cert,Area,Site_Typ,Topo_set
Ain Satam Cem.,2,0.518863035,Mounded settlement,Alluvium
Anza Cemetery,2,3.977984066,Mounded settlement,Inner terrace
Baabneet,2,0.570508047,Mounded settlement,Cliff
Babira Cem.,3,0.498371366,Cemetery,Inner terrace
Bajid Yaf Cem.,2,0.362878387,Cemetery,Alluvium
Baqaq Cemetery,3,0.498371314,Unknown,Inner terrace
Baqaq II,2,3.143024496,Mounded settlement,Inner terrace
Bardiya 8,2,0.446006394,Mounded settlement,Inner terrace
Cam Pashayi,1,5.234390265,Mounded settlement,Cliff
Christian Cem.,2,0.310583973,Unknown,Inner terrace
Dakhas,1,1.796339134,Mounded settlement,Cliff
Deir Situn,3,0.498371293,Mounded settlement,Inner terrace
Der Hal Cemetery,3,0.498371304,Unknown,Alluvium
Der Hall,2,6.565728028,Mounded settlement,Alluvium
Dhuwayyj and The New Thowayj Cem.,2,6.842956024,Mounded settlement,Alluvium
Durdara,2,0.976809262,Mounded settlement,Inner terrace
Edhayla Cemetery,2,5.98565044,Mounded settlement,Alluvium
EHS_A001,1,0.063926663,Structure/Feature,Cliff
EHS_A002,1,0.180699351,Structure/Feature,Cliff
EHS_A006,1,0.462652622,Mounded settlement,Alluvium
EHS_A008 + EHS_A007,0,1.568211528,Mounded settlement,Alluvium
EHS_A012,1,0.442510201,Mounded settlement,Alluvium
EHS_A026,1,3.022230762,Flat settlement,Alluvium
EHS_A029,1,0.361360629,Mounded settlement,Alluvium
EHS_B208,1,2.6493677,Flat settlement,Inner terrace
EHS_B210 and Iftahl Cem. and Kh. Iftahl,0,22.26060035,Mounded settlement,Inner terrace
EHS_B214,1,0.155025671,Flat settlement,Inner terrace
EHS_B215,1,0.766790375,Flat settlement,Inner terrace
EHS_B216,2,3.409992674,Flat settlement,Cliff
EHS_B221,1,11.1074823,Flat settlement,Cliff
EHS_B222,1,0.872627722,Flat settlement,Cliff
EHS_B223,1,3.431188694,Mounded settlement,Cliff
EHS_B250,1,1.18683582,Flat settlement,Inner terrace
EHS_B251,1,4.177510532,Flat settlement,Inner terrace
EHS_B252,1,3.169018115,Flat settlement,Inner terrace
EHS_B253,1,0.897198027,Flat settlement,Inner terrace
EHS_B254,1,2.746607374,Flat settlement,Inner terrace
EHS_B256,1,0.035419996,Scatter,Inner terrace
EHS_B257,1,4.255436013,Flat settlement,Cliff
EHS_B266,1,0.650004065,Flat settlement,Inner terrace
EHS_B267,1,3.208098104,Mounded settlement,Cliff
EHS_B268,1,0.37769636,Mounded settlement,Cliff
EHS_B270,1,0.649153154,Scatter,Cliff
EHS_B273,1,4.82703083,Flat settlement,Inner terrace
EHS_B274,1,0.354991602,Flat settlement,Inner terrace
